AFFX-BioB-5_at,AFFX-BioB-M_at,AFFX-BioB-3_at,AFFX-BioC-5_at,AFFX-BioC-3_at,AFFX-BioDn-5_at,AFFX-BioDn-3_at,AFFX-CreX-5_at,AFFX-CreX-3_at,AFFX-BioB-5_st,AFFX-BioB-M_st,AFFX-BioB-3_st,AFFX-BioC-5_st,AFFX-BioC-3_st,AFFX-BioDn-5_st,AFFX-BioDn-3_st,AFFX-CreX-5_st,AFFX-CreX-3_st,hum_alu_at,AFFX-DapX-5_at,AFFX-DapX-M_at,AFFX-DapX-3_at,AFFX-LysX-5_at,AFFX-LysX-M_at,AFFX-LysX-3_at,AFFX-PheX-5_at,AFFX-PheX-M_at,AFFX-PheX-3_at,AFFX-ThrX-5_at,AFFX-ThrX-M_at,AFFX-ThrX-3_at,AFFX-TrpnX-5_at,AFFX-TrpnX-M_at,AFFX-TrpnX-3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_3_at,AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,Target
-214,-153,-58,88,-295,-558,199,-176,252,206,-41,-831,-653,-462,75,381,-118,-565,15091,7,311,-231,21,-107,165,-78,-204,29,-61,-105,-366,-41,-346,-297,-109,-13,215,797,14538,9738,8529,15076,11126,17782,16287,18727,15774,264,70,298,0
-139,-73,-1,283,-264,-400,-330,-168,101,74,19,-743,-239,-83,182,164,-141,-423,11038,37,134,-161,-21,-180,18,-120,-65,97,15,-49,-330,-41,-772,-259,-192,-219,116,433,615,115,1518,19448,13568,18112,17926,20668,16959,513,153,285,0
-76,-49,-307,309,-376,-650,33,-367,206,-215,19,-1135,-962,-232,208,432,84,-501,16692,183,378,-221,67,-203,238,-124,-161,36,-23,-80,-481,-65,-620,-269,-136,104,476,1474,5669,3272,3668,27410,16756,23006,22626,24672,18285,609,66,187,0
-135,-114,265,12,-419,-585,158,-253,49,31,363,-934,-577,-214,142,271,-107,-101,15763,45,268,-27,43,-52,247,-116,-208,22,-10,-74,-240,-33,-560,-261,-366,-148,155,415,4850,2293,2569,14920,11439,17633,15770,18773,14245,183,-54,260,0
-106,-125,-76,168,-230,-284,4,-122,70,252,155,-471,-490,-184,32,213,1,-260,18128,-28,118,-153,-8,-111,44,-88,-102,32,5,-18,-228,53,-348,-169,-156,-55,122,483,1284,2731,316,14653,15030,17384,16386,19091,18323,291,78,287,0
-138,-85,-114,130,-355,-543,103,-252,109,101,244,-623,-413,-209,24,241,-121,-359,14990,10,225,-149,33,-128,113,-36,-113,34,-2,8,22,22,2,-505,-201,-219,-60,431,2318,1336,1254,16944,12437,18528,17124,19561,16639,171,11,400,0
-114,-123,-13,191,-241,-320,12,-189,123,108,124,-639,-399,-113,113,252,-95,-387,13998,-16,213,-18,-37,-153,108,-110,-100,53,-22,-100,-256,15,-518,-243,-164,-101,151,385,1457,1185,1481,18439,13995,20004,18228,21199,16953,348,14,354,0
-112,-111,-36,252,-257,-390,105,-218,102,154,213,-686,-357,-135,108,217,-116,-431,15421,-14,242,-149,30,-147,159,-82,-121,39,-12,-52,-214,1,-445,-236,-212,-132,156,402,2393,1305,1166,16171,12338,18126,17183,19488,16223,415,109,423,0
-98,-118,-12,182,-268,-360,53,-203,84,103,161,-552,-401,-160,115,249,-101,-394,14476,-13,205,-124,26,-133,136,-91,-118,29,-25,-57,-206,-25,-489,-221,-139,-124,103,349,2799,1781,1513,17138,13389,19013,18039,20116,16867,288,43,332,0
-132,-103,-124,139,-313,-469,113,-241,122,129,220,-835,-427,-160,85,278,-111,-393,15923,19,209,-109,-18,-154,115,-71,-121,49,-13,-41,-207,28,-532,-252,-203,-117,163,391,2484,1551,1359,16508,12415,18321,17373,19339,16335,221,43,267,0
-104,-82,14,215,-289,-384,146,-197,112,85,152,-642,-444,-108,129,293,-133,-375,15442,16,197,-129,-23,-150,131,-93,-138,36,-31,-65,-230,10,-512,-234,-218,-142,216,409,2491,1572,1374,16632,12630,18395,17379,19794,16505,372,56,449,0
-74,-72,-21,199,-285,-379,83,-183,93,126,168,-622,-411,-157,111,273,-142,-348,15554,23,234,-149,28,-140,119,-100,-130,16,-34,-74,-190,19,-490,-225,-166,-116,167,404,2420,1654,1509,17183,12928,18828,17719,19807,17024,321,79,352,0
-108,-112,6,211,-274,-394,109,-213,101,114,192,-637,-383,-136,102,233,-115,-391,15150,22,235,-142,33,-127,143,-88,-119,30,-20,-63,-226,20,-481,-231,-202,-124,196,441,2131,1289,1184,15796,12239,17833,16949,19313,16131,342,61,379,0
-143,-127,105,233,-243,-352,143,-229,112,127,156,-655,-408,-109,122,238,-127,-383,14339,26,183,-107,31,-114,133,-78,-123,31,-28,-52,-183,11,-426,-220,-202,-111,165,399,1956,1343,1151,16199,12501,18047,16999,19451,16269,299,65,357,0
-102,-125,2,246,-275,-423,124,-243,131,146,194,-644,-428,-141,120,256,-119,-405,15352,-10,211,-154,34,-125,119,-101,-130,30,-22,-71,-214,10,-511,-250,-246,-124,166,419,2406,1493,1257,16616,12818,18491,17343,19564,16600,323,75,342,0
-125,-123,-20,132,-265,-401,53,-230,123,110,201,-629,-414,-153,109,243,-113,-369,14988,14,243,-135,26,-113,134,-82,-121,29,-16,-41,-203,15,-486,-230,-177,-127,125,419,2581,1495,1256,16631,12871,18488,17409,19601,16573,280,64,321,0
-126,-138,10,166,-294,-433,83,-233,121,143,171,-634,-451,-142,122,279,-113,-429,15317,14,204,-143,14,-129,119,-84,-131,23,-20,-48,-205,-6,-511,-246,-189,-121,173,382,2328,1537,1336,16335,12573,18432,17290,19534,16694,279,72,327,0
-129,-102,40,244,-247,-390,111,-216,103,139,183,-625,-387,-129,125,248,-118,-374,14848,34,203,-134,22,-121,129,-84,-112,42,-22,-46,-193,-13,-459,-232,-187,-109,161,424,1882,1268,1115,15729,12469,17812,16817,19336,16038,341,74,383,0
-104,-103,-3,191,-258,-393,121,-223,107,117,159,-630,-393,-130,128,266,-119,-389,15059,10,211,-154,19,-142,122,-95,-132,23,-29,-64,-226,9,-483,-226,-195,-116,173,398,2178,1381,1180,16135,12634,18128,17119,19338,16262,349,82,367,0
-133,-122,-1,273,-252,-420,131,-233,101,130,221,-689,-425,-123,144,271,-130,-382,14326,20,194,-125,-3,-142,135,-94,-130,30,-28,-65,-212,-1,-479,-235,-223,-134,193,425,2316,1383,1238,16446,12759,18423,17278,19561,16496,337,84,364,0
-25,2,-118,243,-169,-301,76,-204,113,100,210,-597,-349,-127,156,227,-106,-352,14631,22,238,-137,28,-113,127,-103,-131,23,-15,-51,-179,25,-444,-211,-159,-101,171,438,2025,1292,1183,16113,12543,18222,17178,19424,16314,297,78,353,0
-63,-57,21,189,-242,-344,113,-181,115,123,184,-561,-378,-134,118,247,-123,-375,15104,24,204,-121,18,-115,110,-88,-115,22,-11,-53,-199,-2,-452,-221,-150,-107,161,409,2339,1501,1324,16454,12874,18399,17387,19515,16615,283,78,307,0
-12,-10,75,147,-183,-292,109,-111,111,126,201,-500,-337,-99,103,230,-113,-318,15429,20,186,-106,19,-97,97,-88,-111,16,-12,-39,-138,22,-373,-186,-154,-83,138,367,3641,2415,2037,16345,12678,17992,17093,19688,16634,249,58,284,0
-140,-93,-24,213,-281,-423,113,-234,111,127,185,-631,-422,-149,121,273,-130,-412,15456,36,211,-121,20,-139,121,-92,-126,29,-22,-52,-194,15,-490,-239,-178,-123,184,411,2537,1643,1424,16668,12873,18541,17464,19665,16603,293,73,326,0
-125,-103,2,246,-275,-423,124,-243,131,146,194,-644,-428,-141,120,256,-119,-405,15352,-10,211,-154,34,-125,119,-101,-130,30,-22,-71,-214,10,-511,-250,-246,-124,166,419,2406,1493,1257,16616,12818,18491,17343,19564,16600,323,75,342,0
-133,-122,-1,273,-252,-420,131,-233,101,130,221,-689,-425,-123,144,271,-130,-382,14326,20,194,-125,-3,-142,135,-94,-130,30,-28,-65,-212,-1,-479,-235,-223,-134,193,425,2316,1383,1238,16446,12759,18423,17278,19561,16496,337,84,364,0
-124,-112,65,223,-257,-390,111,-216,103,139,183,-625,-387,-129,125,248,-118,-374,14848,34,203,-134,22,-121,129,-84,-112,42,-22,-46,-193,-13,-459,-232,-187,-109,161,424,1882,1268,1115,15729,12469,17812,16817,19336,16038,341,74,383,0
-273,-221,-22,33,-381,-468,-103,-264,159,-2,253,-749,-530,-191,102,347,-134,-411,13909,33,266,-207,63,-115,166,-105,-133,31,-23,-74,-248,-12,-551,-237,-168,-113,181,429,1399,924,963,16190,12135,17845,16745,19001,16120,381,109,438,1
-117,-113,-52,142,-220,-381,-18,-203,112,108,189,-590,-396,-147,105,243,-107,-370,14774,21,192,-111,26,-115,115,-87,-111,22,-12,-48,-185,-8,-470,-226,-159,-118,143,388,2315,1484,1316,16379,12845,18399,17390,19588,16600,289,64,359,1
-104,-102,6,128,-263,-431,39,-221,114,115,186,-653,-438,-172,129,271,-120,-394,15299,21,208,-127,16,-119,119,-94,-125,31,-16,-57,-204,15,-513,-233,-165,-123,165,426,2908,1873,1635,17438,13627,19481,18349,20731,17336,393,101,416,1
-161,-134,-121,118,-276,-428,24,-254,123,121,183,-667,-458,-184,110,279,-115,-401,15235,32,228,-148,43,-127,134,-81,-121,30,-21,-56,-219,-2,-502,-234,-172,-118,162,382,2385,1535,1342,16474,12937,18526,17498,19736,16739,322,86,346,1
-144,-103,-39,183,-252,-397,112,-221,106,128,198,-643,-410,-147,130,265,-123,-391,15217,31,217,-134,26,-134,128,-91,-119,30,-21,-63,-217,14,-498,-232,-175,-121,173,398,2223,1423,1234,16231,12687,18177,17293,19483,16524,319,77,343,1
-188,-159,-112,116,-315,-433,6,-268,141,123,185,-690,-493,-191,105,301,-121,-414,14256,41,235,-155,42,-124,141,-90,-128,34,-25,-69,-232,-14,-529,-251,-178,-115,157,404,1882,1231,1106,16037,12328,17769,16817,19147,16089,392,119,397,1
-157,-127,-38,115,-270,-489,52,-259,127,128,210,-699,-487,-202,125,326,-124,-433,14986,30,233,-149,36,-128,142,-88,-121,34,-20,-63,-228,12,-528,-246,-169,-125,170,396,2522,1658,1434,16873,13166,18861,17808,19939,16964,394,103,403,1
-127,-107,24,119,-263,-431,39,-221,114,115,186,-653,-438,-172,129,271,-120,-394,15299,21,208,-127,16,-119,119,-94,-125,31,-16,-57,-204,15,-513,-233,-165,-123,165,426,2908,1873,1635,17438,13627,19481,18349,20731,17336,393,101,416,1
-151,-118,2,204,-257,-390,105,-218,102,154,213,-686,-357,-135,108,217,-116,-431,15421,-14,242,-149,30,-147,159,-82,-121,39,-12,-52,-214,1,-445,-236,-212,-132,156,402,2393,1305,1166,16171,12338,18126,17183,19488,16223,415,109,423,1
-100,-104,-30,126,-252,-356,113,-203,84,103,161,-552,-401,-160,115,249,-101,-394,14476,-13,205,-124,26,-133,136,-91,-118,29,-25,-57,-206,-25,-489,-221,-139,-124,103,349,2799,1781,1513,17138,13389,19013,18039,20116,16867,288,43,332,1